window_start,window_end,mean,standard_deviation,rms,maximum_error,slope,skewness,kurtosis,autocorrelation_lag1,dominant_frequency_energy,wavelet_detail_energy,dropout_ratio,spike_count
0,30,1.3958271164667735,5.412146013403688,5.589244833558947,12.091020584482806,-0.14313353069028378,-0.5532519331646808,3.122901978040042,0.010085436354611912,2916.8866741930456,314.4569979361795,0.0,2
10,40,-0.19334231394581516,5.445490049221599,5.44892128099988,12.091020584482806,-0.11979369584383666,-0.2822344869954614,2.2593091703714543,-0.024524697694589568,3691.704213864707,313.579151832463,0.0,1
20,50,-1.3430736366926415,5.3795197666798575,5.544644236890056,12.091020584482806,-0.09209637792716023,0.05173007635949002,2.2687207175321564,-0.004948533141328379,3650.487941691658,317.9893823854065,0.0,0
30,60,-1.8757340927002588,5.142941172964547,5.474323912145866,12.998948271089148,0.0779743355577533,0.8965876307236281,3.6985930243625527,-0.15586844539249614,2948.3439214132163,515.3486931331136,0.0,1
40,70,-1.1791783780963574,5.103702756686307,5.2381526778032494,12.998948271089148,0.13109139107136003,0.7464299799326249,3.6645810073444904,-0.19538048380120138,2836.798214752645,509.04664481901443,0.0,1
50,80,0.3802249320571794,5.296926119922369,5.3105552740625654,16.00628231840051,0.1701800858723854,1.1840741445044811,4.2290028618354425,-0.20082770428973373,3345.2172102809827,466.4522088308351,0.0,2
60,90,1.0569236138328468,4.96236249585711,5.073670177077604,16.00628231840051,0.016379758704154132,0.8686877665410022,4.0768583391231115,-0.1698267218085698,2472.130937599633,320.6215655001498,0.0,1
70,100,1.0006415399164836,5.303264981878895,5.396841943157997,16.00628231840051,-0.10707928435222493,0.5063040997340295,3.4983215204257614,-0.14348795201861134,2975.691651699891,434.98853778874707,0.0,1
80,110,0.7476739599035284,5.237354942297632,5.290453963690379,9.247822375010685,-0.023195358029418613,0.01722836530006109,2.0963405417734875,-0.035502314108227816,4076.2896622029198,329.36545289675325,0.0,0
90,120,-0.6518719580389776,5.014220468498884,5.056416117804263,9.247822375010685,-0.19548817895696197,0.3502025608185503,2.3572543093869305,0.13966701503910145,2077.0853649869878,271.80489731717086,0.0,0
100,130,-1.695722167799507,5.170921514370017,5.441865762598464,12.202503716033561,-0.27030973592669205,0.4114249900333895,2.7377941518765225,0.12576629518920152,2111.0513311659956,268.2100763206744,0.0,3
110,140,-1.9917348757440152,5.1851998902119085,5.554575205783843,12.202503716033561,0.15746827899724747,0.4746880464579315,2.697952136248682,0.13192905220171006,2709.4381861989073,398.80209919550464,0.0,1
120,150,-0.9322195287013054,5.32878810753967,5.40971495965807,12.202503716033561,0.12662993618352197,0.11064806278551771,2.2448135194103696,0.18774690990320983,2632.8835311220255,401.51383646477694,0.0,2
130,160,0.11310594342359272,5.623380491734876,5.624517855715467,13.112932378110372,0.03743331116243632,0.22017066662606663,2.4682894741113235,0.11655452735155442,2396.2479316938516,461.88411439610144,0.0,1
140,170,0.17624777287484789,5.385673545407444,5.388556654164911,13.163087203566988,0.03005179551109628,0.49213296461733536,3.3054599697530467,-0.12321265052771224,3462.389002949916,481.68893722333326,0.0,3
